brown_login,brown_id,source,user_found,found_through,employment_status,employee_type,emp_status_date,affiliate_status,affiliate_start,affiliate_end,student_status_code,student_separation,blocked_reason
smquigle,010274083,Workday,found,{'brown_login': 'smquigle'},A,E,08/27/2007,,,,,,
solyan,010027866,Workday,found,{'brown_login': 'solyan'},A,F,07/01/1992,,,,,,
srathbun,010173626,Workday,found,{'brown_login': 'srathbun'},A,E,01/03/2005,,,,,,
sreda,010202814,Workday,found,{'brown_login': 'sreda'},A,F,07/01/2006,,,,,,
srichte5,140738492,Workday,found,{'brown_login': 'srichte5'},A,N,02/05/2024,,,,,,
srivkees,140521694,Workday,found,{'brown_login': 'srivkees'},A,F,02/01/2022,,,,,,
srottenb,010199811,Workday,found,{'brown_login': 'srottenb'},A,E,06/19/2006,,,,,,
ssharpe,060072997,Workday,found,{'brown_login': 'ssharpe'},A,E,07/01/2006,N,06/26/2006,06/30/2006,G,06/01/1994,
ssilva,010029044,Workday,found,{'brown_login': 'ssilva'},A,E,02/13/1990,,,,,,
ssmulyan,010029151,Workday,found,{'brown_login': 'ssmulyan'},A,F,07/01/2024,,,,,,
sstewart,010184965,Workday,found,{'brown_login': 'sstewart'},A,F,07/01/2024,,,,,,
ssumerac,140056003,Workday,found,{'brown_login': 'ssumerac'},A,E,07/20/2015,,,,,,
st10,010670800,Workday,found,{'brown_login': 'st10'},A,F,07/01/2013,,,,,,
suharvey,010025809,Workday,found,{'brown_login': 'suharvey'},A,F,07/01/1987,,,,,,
sushort,010049182,Workday,found,{'brown_login': 'sushort'},A,F,07/01/1997,,,,,,
svillell,140239578,Workday,found,{'brown_login': 'svillell'},A,E,06/11/2018,,,,,,
sw44,100351534,Workday,found,{'brown_login': 'sw44'},A,E,10/09/2012,,,,G,06/20/2011,
swintz,140266437,Workday,found,{'brown_login': 'swintz'},A,E,01/13/2020,,,,,,
tachilli,140172525,Workday,found,{'brown_login': 'tachilli'},A,E,07/01/2017,,,,G,06/23/2014,
tam2,020273105,Workday,found,{'brown_login': 'tam2'},A,E,08/18/2015,N,04/22/2014,09/20/2022,G,06/18/2012,
tbarber2,140490212,Workday,found,{'brown_login': 'tbarber2'},A,E,01/19/2022,,,,,,
tbewes,010144753,Workday,found,{'brown_login': 'tbewes'},A,F,08/15/2002,,,,,,
tcronin,020179301,Workday,found,{'brown_login': 'tcronin'},A,E,05/01/2006,N,04/28/2005,01/31/2006,,,
tdesai,060072026,Workday,found,{'brown_login': 'tdesai'},A,F,09/01/2022,,,,G,06/01/1994,
therbert,010025874,Workday,found,{'brown_login': 'therbert'},A,F,01/01/1995,,,,,,
tlewis12,140172192,Workday,found,{'brown_login': 'tlewis12'},A,N,04/24/2017,,,,,,
tlrose,060076441,Workday,found,{'brown_login': 'tlrose'},A,F,07/01/2006,,,,G,06/01/1993,
tmildner,010116594,Workday,found,{'brown_login': 'tmildner'},A,E,07/03/2023,,,,,,
tnummeda,010130884,Workday,found,{'brown_login': 'tnummeda'},A,F,07/01/2001,,,,,,
trpalmor,020120878,Workday,found,{'brown_login': 'trpalmor'},A,F,09/01/2000,N,09/01/2000,09/30/2000,,,
tsteffes,010272046,Workday,found,{'brown_login': 'tsteffes'},P,F,07/01/2007,,,,,,
tvarszegi,,,not_found,,,,,,,,,,No user found based on provided information.
twd,010024730,Workday,found,{'brown_login': 'twd'},A,F,07/01/2025,,,,,,
twinkler,010030039,Workday,found,{'brown_login': 'twinkler'},A,F,07/01/1993,,,,,,
ucohenpr,010599303,Workday,found,{'brown_login': 'ucohenpr'},A,F,09/01/2012,,,,,,
ugur,010130879,Workday,found,{'brown_login': 'ugur'},A,F,07/01/2001,,,,,,
ulangner,140325424,Workday,found,{'brown_login': 'ulangner'},A,M,09/01/2021,N,11/13/2019,11/06/2020,,,
vgolstei,010156634,Workday,found,{'brown_login': 'vgolstei'},A,F,07/01/2003,,,,,,
vmitrovi,010159349,Workday,found,{'brown_login': 'vmitrovi'},A,F,07/01/2003,,,,,,
vriccite,010172224,Workday,found,{'brown_login': 'vriccite'},P,E,10/04/2004,,,,,,
watwoodp,010023221,Workday,found,{'brown_login': 'watwoodp'},A,F,09/01/1995,,,,,,
wbilderb,020126420,Workday,found,{'brown_login': 'wbilderb'},A,E,03/10/2001,N,01/22/2001,05/31/2001,,,
wbowen,010040417,Workday,found,{'brown_login': 'wbowen'},A,F,07/01/2022,,,,,,
wgoedel,140164975,Workday,found,{'brown_login': 'wgoedel'},A,F,06/01/2020,,,,G,06/22/2020,
wlee,000811543,Workday,found,{'brown_login': 'wlee'},A,E,09/20/2021,N,01/24/2014,09/20/2022,G,06/18/2012,
wperelma,010028064,Workday,found,{'brown_login': 'wperelma'},A,E,05/23/1988,,,,,,
wschille,010028808,Workday,found,{'brown_login': 'wschille'},A,F,07/01/2026,,,,,,
xcao39,140579641,Workday,found,{'brown_login': 'xcao39'},A,N,09/19/2022,,,,,,
yguo,010025663,Workday,found,{'brown_login': 'yguo'},A,F,06/01/1993,,,,G,06/01/1993,
zsng,002384248,Workday,found,{'brown_login': 'zsng'},A,F,09/01/2022,N,06/01/2004,07/01/2004,G,06/01/1994,
