brown_login,source,brown_id,user_found,found_through,student_status_code,employment_status,employee_type,emp_status_date,student_separation,affiliate_status,affiliate_start,affiliate_end,blocked_reason
sdunsige,Workday,002392156,found,{'brown_login': 'sdunsige'},G,A,F,10/01/2019,06/22/2009,N,04/13/2009,04/23/2009,
cmfagan,Workday,140552312,found,{'brown_login': 'cmfagan'},G,A,E,06/09/2023,06/20/2023,,,,
xfan15,Workday,140268684,found,{'brown_login': 'xfan15'},G,A,E,10/17/2022,06/21/2022,,,,
ebfinn,Workday,060074508,found,{'brown_login': 'ebfinn'},G,A,F,10/01/2023,06/01/1990,N,08/26/2008,03/04/2009,
rgaither,Workday,140326443,found,{'brown_login': 'rgaither'},G,A,E,09/18/2024,09/04/2024,,,,
jgantenb,Workday,140069114,found,{'brown_login': 'jgantenb'},G,A,F,12/01/2021,01/26/2022,N,03/22/2021,08/31/2021,
tgladstone,Workday,060074754,found,{'brown_login': 'tgladstone'},G,A,F,11/01/2022,06/01/1990,,,,
wgoedel,Workday,140164975,found,{'brown_login': 'wgoedel'},G,A,F,06/01/2020,06/22/2020,,,,
jgoldma5,Workday,140164761,found,{'brown_login': 'jgoldma5'},G,A,E,07/01/2019,06/24/2019,,,,
jgong4,Workday,140071598,found,{'brown_login': 'jgong4'},G,A,M,06/01/2024,06/17/2024,,,,
hgraves,Workday,010323304,found,{'brown_login': 'hgraves'},G,A,E,10/07/2008,06/23/2014,,,,
lhanna,Workday,010030485,found,{'brown_login': 'lhanna'},G,P,E,10/23/1995,06/01/1986,,,,
ahuang75,Workday,140333809,found,{'brown_login': 'ahuang75'},G,A,F,06/01/2026,06/15/2026,,,,
mj14,Workday,040300675,found,{'brown_login': 'mj14'},G,A,F,07/01/2008,06/01/2002,,,,
ijjenkin,Workday,100386051,found,{'brown_login': 'ijjenkin'},G,A,N,01/26/2026,06/21/2022,,,,
kjohns48,Workday,140246933,found,{'brown_login': 'kjohns48'},G,A,M,07/01/2024,06/20/2023,,,,
tkang,Workday,140235500,found,{'brown_login': 'tkang'},G,A,N,07/01/2025,06/16/2025,,,,
dk5,Workday,000606512,found,{'brown_login': 'dk5'},G,A,F,09/01/2018,06/18/2012,,,,
ckofron,Workday,000420201,found,{'brown_login': 'ckofron'},G,A,E,07/10/2017,06/22/2009,N,02/26/2010,06/30/2010,
ckosar,Workday,140018174,found,{'brown_login': 'ckosar'},G,A,F,05/01/2021,05/12/2021,,,,
jkurtis,Workday,000194068,found,{'brown_login': 'jkurtis'},G,A,F,07/01/2017,06/01/1996,,,,
dlake,Workday,140164861,found,{'brown_login': 'dlake'},G,A,F,07/01/2024,06/20/2023,,,,
kelarned,Workday,100642469,found,{'brown_login': 'kelarned'},G,A,F,07/22/2024,06/23/2014,,,,
sllefebv,Workday,140640205,found,{'brown_login': 'sllefebv'},G,A,E,06/09/2025,06/16/2025,,,,
tlibby,Workday,140271798,found,{'brown_login': 'tlibby'},G,A,M,01/01/2019,06/16/2025,N,01/02/2019,01/02/2020,
mlopezme,Workday,140217577,found,{'brown_login': 'mlopezme'},G,A,F,07/01/2024,09/04/2024,,,,
amacmadu,Workday,100403358,found,{'brown_login': 'amacmadu'},G,A,F,06/01/2022,06/21/2022,N,01/06/2016,03/13/2017,
smanda15,Workday,140685760,found,{'brown_login': 'smanda15'},G,A,E,06/08/2026,06/15/2026,,,,
fm3,Workday,000412689,found,{'brown_login': 'fm3'},G,A,E,05/03/2022,06/01/2000,N,09/10/2021,09/20/2022,
ammcdono,Workday,100605492,found,{'brown_login': 'ammcdono'},G,A,E,09/03/2019,06/25/2018,,,,
lmercuri,Workday,100374104,found,{'brown_login': 'lmercuri'},G,A,M,08/01/2020,06/24/2019,N,02/18/2020,02/17/2021,
dmeyers1,Workday,140076783,found,{'brown_login': 'dmeyers1'},G,A,F,06/01/2020,06/22/2020,,,,
kmoretti,Workday,140172668,found,{'brown_login': 'kmoretti'},G,A,M,07/01/2026,06/22/2020,,,,
wnardi,Workday,010809655,found,{'brown_login': 'wnardi'},G,A,F,06/01/2025,06/16/2025,,,,
mpeterse,Workday,140131001,found,{'brown_login': 'mpeterse'},G,A,M,10/01/2025,06/20/2023,N,07/06/2023,07/05/2024,
mrestrep,Workday,000605761,found,{'brown_login': 'mrestrep'},G,A,E,03/28/2016,06/24/2013,,,,
arodr146,Workday,140570879,found,{'brown_login': 'arodr146'},G,A,E,06/01/2022,06/15/2026,,,,
mlrogers,Workday,010040979,found,{'brown_login': 'mlrogers'},G,A,F,11/01/2004,06/01/2002,,,,
jromanof,Workday,100723006,found,{'brown_login': 'jromanof'},G,A,E,11/21/2016,06/27/2016,,,,
fsaadeh,Workday,000423230,found,{'brown_login': 'fsaadeh'},G,A,E,05/31/2006,06/20/2011,,,,
ksaal,Workday,060075986,found,{'brown_login': 'ksaal'},G,A,M,01/01/2022,06/01/1991,N,08/06/2019,08/05/2021,
jsschust,Workday,000822947,found,{'brown_login': 'jsschust'},G,A,M,02/01/2017,06/23/2014,N,01/29/2014,05/31/2014,
syuliia,Workday,140376854,found,{'brown_login': 'syuliia'},G,A,E,08/15/2022,01/24/2024,N,06/14/2022,05/31/2023,
ksine,Workday,140312291,found,{'brown_login': 'ksine'},G,A,M,07/01/2025,06/17/2024,,,,
ms11,Workday,010504216,found,{'brown_login': 'ms11'},G,A,M,01/01/2022,06/17/2024,N,07/20/2021,07/07/2022,
lsoliman,Workday,140242258,found,{'brown_login': 'lsoliman'},G,A,M,06/01/2024,06/17/2024,,,,
slsong,Workday,140018974,found,{'brown_login': 'slsong'},G,A,M,07/01/2024,06/20/2023,,,,
jtrombl1,Workday,140576588,found,{'brown_login': 'jtrombl1'},G,A,E,09/19/2022,06/15/2026,,,,
ttuttle1,Workday,140733211,found,{'brown_login': 'ttuttle1'},G,A,E,06/23/2025,06/16/2025,,,,
avidmar,Workday,100709163,found,{'brown_login': 'avidmar'},G,A,E,10/01/2018,06/25/2018,N,07/29/2021,06/30/2023,
lwerner2,Workday,140566198,found,{'brown_login': 'lwerner2'},G,A,E,11/26/2024,06/17/2024,N,07/01/2024,07/19/2024,
yxu150,Workday,140309739,found,{'brown_login': 'yxu150'},G,A,E,09/09/2019,06/20/2023,,,,
rzia,Workday,000414918,found,{'brown_login': 'rzia'},G,A,F,07/01/2006,06/01/2001,N,01/12/2006,07/01/2006,
azullo,Workday,100578799,found,{'brown_login': 'azullo'},G,A,F,09/01/2015,06/26/2017,,,,
sfulcome,Workday,010025259,found,{'brown_login': 'sfulcome'},N,A,E,10/01/1998,09/01/1984,,,,
uakbar,Workday,140039596,found,{'brown_login': 'uakbar'},TS,A,M,07/01/2024,01/24/2024,,,,
sarias1,Workday,140018276,found,{'brown_login': 'sarias1'},TS,A,M,01/01/2015,06/17/2024,,,,
dhbarker,Workday,010366613,found,{'brown_login': 'dhbarker'},TS,A,M,07/01/2012,01/21/2015,,,,
sbroestl,Workday,010186649,found,{'brown_login': 'sbroestl'},TS,A,E,09/19/2005,06/21/2010,,,,
adamico3,Workday,140580541,found,{'brown_login': 'adamico3'},TS,A,E,09/30/2022,06/16/2025,,,,
sdjamaoe,Workday,140199738,found,{'brown_login': 'sdjamaoe'},TS,A,E,07/01/2022,01/22/2025,,,,
mdoughty,Workday,001805663,found,{'brown_login': 'mdoughty'},TS,A,E,01/14/2008,06/01/1999,,,,
sgolds13,Workday,140571354,found,{'brown_login': 'sgolds13'},TS,A,F,06/30/2024,01/22/2025,,,,
sgoldst4,Workday,140173769,found,{'brown_login': 'sgoldst4'},TS,A,M,07/01/2020,06/22/2020,,,,
aguang,Workday,100582632,found,{'brown_login': 'aguang'},TS,A,E,02/12/2018,06/15/2026,,,,
yhamaguc,Workday,140451414,found,{'brown_login': 'yhamaguc'},TS,A,E,07/22/2024,06/21/2022,,,,
tjanssen,Workday,140058737,found,{'brown_login': 'tjanssen'},TS,A,F,09/01/2015,01/25/2017,,,,
rjoshi10,Workday,140321264,found,{'brown_login': 'rjoshi10'},TS,A,E,11/01/2019,05/12/2021,,,,
bkrall,Workday,140655065,found,{'brown_login': 'bkrall'},TS,A,E,09/01/2023,06/15/2026,N,05/01/2023,08/31/2023,
alee35,Workday,140061715,found,{'brown_login': 'alee35'},TS,A,E,09/29/2015,01/21/2026,,,,
jm114,Workday,010597684,found,{'brown_login': 'jm114'},TS,A,F,09/01/2014,01/22/2014,,,,
lmicaliz,Workday,140122479,found,{'brown_login': 'lmicaliz'},TS,A,F,08/01/2020,01/23/2019,N,07/01/2019,06/30/2021,
kmonteir,Workday,010038272,found,{'brown_login': 'kmonteir'},TS,A,E,07/01/2011,01/21/2009,,,,
lorchows,Workday,010318879,found,{'brown_login': 'lorchows'},TS,A,M,06/01/2026,01/26/2011,,,,
broarr,Workday,140244220,found,{'brown_login': 'broarr'},TS,A,E,07/16/2018,09/08/2021,,,,
psaluja,Workday,140309738,found,{'brown_login': 'psaluja'},TS,A,E,12/15/2025,09/07/2022,,,,
es60,Workday,010586153,found,{'brown_login': 'es60'},TS,A,M,01/01/2023,01/26/2022,Y,08/20/2026,12/31/2026,
vsilva7,Workday,140575718,found,{'brown_login': 'vsilva7'},TS,A,E,07/18/2022,01/22/2025,,,,
nsingh23,Workday,140309443,found,{'brown_login': 'nsingh23'},TS,A,M,07/01/2024,01/21/2026,,,,
asokolo1,Workday,140114219,found,{'brown_login': 'asokolo1'},TS,A,F,07/01/2017,01/23/2019,,,,
esolisbe,Workday,140300150,found,{'brown_login': 'esolisbe'},TS,T,E,07/24/2026,06/22/2020,,,,
htreloar,Workday,010669682,found,{'brown_login': 'htreloar'},TS,A,M,09/01/2014,01/27/2016,N,07/01/2014,07/01/2014,
jwalla12,Workday,140272125,found,{'brown_login': 'jwalla12'},TS,A,E,01/07/2019,01/25/2023,,,,
mwilsonb,Workday,140184381,found,{'brown_login': 'mwilsonb'},TS,A,E,10/31/2017,09/07/2022,,,,
nw5,Workday,010324483,found,{'brown_login': 'nw5'},TS,A,E,10/27/2008,01/27/2010,,,,
twray,Workday,010677305,found,{'brown_login': 'twray'},TS,A,F,09/01/2013,01/21/2015,,,,
jhiris,Workday,010025925,found,{'brown_login': 'jhiris'},W,A,E,02/06/1984,01/01/1988,,,,
bowens1,Workday,140053487,found,{'brown_login': 'bowens1'},W,A,M,06/01/2015,09/03/2025,N,05/15/2024,06/30/2024,
astephen,Workday,000415160,found,{'brown_login': 'astephen'},WT,A,M,07/01/2017,01/01/1998,,,,
rabid,Workday,010484363,found,{'brown_login': 'rabid'},,A,M,07/01/2018,,,,,
caffatig,Workday,140823144,found,{'brown_login': 'caffatig'},,A,E,09/15/2025,,,,,
anaizer,Workday,010155730,found,{'brown_login': 'anaizer'},,A,F,07/01/2003,,,,,
amalbane,Workday,140449023,found,{'brown_login': 'amalbane'},,A,M,08/01/2022,,,,,
callenpl,Workday,140826314,found,{'brown_login': 'callenpl'},,A,F,09/01/2025,,,,,
jalmes,Workday,140823069,found,{'brown_login': 'jalmes'},,A,F,09/01/2025,,,,,
lantico,Workday,140557787,found,{'brown_login': 'lantico'},,A,F,01/06/2026,,,,,
mantone2,Workday,140514443,found,{'brown_login': 'mantone2'},,A,E,01/18/2022,,,,,
jantoni1,Workday,140582091,found,{'brown_login': 'jantoni1'},,A,E,11/01/2022,,,,,
karfer,Workday,140661258,found,{'brown_login': 'karfer'},,A,E,07/01/2023,,,,,
gavila1,Workday,140304226,found,{'brown_login': 'gavila1'},,A,E,04/15/2019,,,,,
vayalahe,Workday,010371786,found,{'brown_login': 'vayalahe'},,A,E,05/01/2026,,,,,
ibacher,Workday,140310467,found,{'brown_login': 'ibacher'},,T,E,05/03/2024,,N,05/13/2024,07/31/2026,
abadea2,Workday,140381958,found,{'brown_login': 'abadea2'},,A,M,07/01/2026,,N,08/18/2020,08/17/2021,
dbadre,Workday,010300944,found,{'brown_login': 'dbadre'},,A,F,07/01/2026,,,,,
pbandark,Workday,140456730,found,{'brown_login': 'pbandark'},,A,E,10/15/2024,,,,,
pbaptist,Workday,010146724,found,{'brown_login': 'pbaptist'},,A,E,12/16/2002,,,,,
kbaraf,Workday,140826924,found,{'brown_login': 'kbaraf'},,T,E,08/14/2026,,,,,
abasmaji,Workday,140762488,found,{'brown_login': 'abasmaji'},,A,F,09/01/2024,,,,,
ebelang2,Workday,140162683,found,{'brown_login': 'ebelang2'},,A,F,02/01/2017,,,,,
jberk1,Workday,140310604,found,{'brown_login': 'jberk1'},,A,M,02/01/2023,,,,,
mbetanc1,Workday,140663052,found,{'brown_login': 'mbetanc1'},,A,N,06/26/2023,,,,,
pbhuptan,Workday,140374228,found,{'brown_login': 'pbhuptan'},,A,M,07/01/2025,,,,,
cboen,Workday,140737196,found,{'brown_login': 'cboen'},,A,F,07/01/2024,,,,,
abogusl2,Workday,140654180,found,{'brown_login': 'abogusl2'},,P,F,09/01/2023,,N,03/30/2023,08/31/2023,
abolves,Workday,140239973,found,{'brown_login': 'abolves'},,A,F,06/01/2026,,Y,10/31/2022,12/16/2026,
bboulay,Workday,140825803,found,{'brown_login': 'bboulay'},,T,F,07/31/2026,,,,,
jb93,Workday,010597749,found,{'brown_login': 'jb93'},,A,F,09/01/2012,,,,,
cbreault,Workday,140274563,found,{'brown_login': 'cbreault'},,A,E,08/01/2024,,N,08/08/2022,08/06/2025,
jbrewer2,Workday,140246606,found,{'brown_login': 'jbrewer2'},,A,F,09/01/2018,,,,,
lbrick,Workday,010792286,found,{'brown_login': 'lbrick'},,A,M,08/01/2025,,,,,
mbrown58,Workday,140231756,found,{'brown_login': 'mbrown58'},,A,E,03/19/2018,,,,,
jbruhn,Workday,140373992,found,{'brown_login': 'jbruhn'},,A,F,07/01/2020,,,,,
ebryer1,Workday,140193568,found,{'brown_login': 'ebryer1'},,A,F,09/01/2024,,,,,
gbryson,Workday,010120294,found,{'brown_login': 'gbryson'},,A,E,07/31/2000,,,,,
abuchan1,Workday,140139106,found,{'brown_login': 'abuchan1'},,A,F,02/01/2020,,N,01/26/2018,06/25/2021,
rbutler,Workday,010212864,found,{'brown_login': 'rbutler'},,A,E,11/06/2006,,,,,
acamp2,Workday,140754471,found,{'brown_login': 'acamp2'},,A,F,06/24/2024,,,,,
mcancil1,Workday,140248906,found,{'brown_login': 'mcancil1'},,A,M,09/01/2022,,N,09/10/2018,09/09/2019,
ccapone,Workday,010273360,found,{'brown_login': 'ccapone'},,A,M,10/01/2015,,,,,
scaroleo,Workday,140817299,found,{'brown_login': 'scaroleo'},,A,F,09/01/2025,,,,,
ccelisde,Workday,010586372,found,{'brown_login': 'ccelisde'},,A,E,06/29/2012,,,,,
lchambe1,Workday,140316210,found,{'brown_login': 'lchambe1'},,A,F,07/01/2021,,N,08/26/2019,07/12/2022,
echen13,Workday,140049969,found,{'brown_login': 'echen13'},,A,F,07/01/2015,,,,,
mclancy3,Workday,140764079,found,{'brown_login': 'mclancy3'},,A,N,10/15/2024,,,,,
cclevel3,Workday,140692161,found,{'brown_login': 'cclevel3'},,P,F,07/01/2024,,N,12/14/2023,12/14/2024,
scolby,Workday,010024196,found,{'brown_login': 'scolby'},,A,F,11/22/2013,,,,,
acolli21,Workday,140327586,found,{'brown_login': 'acolli21'},,A,F,09/01/2024,,,,,
ecouch,Workday,140457594,found,{'brown_login': 'ecouch'},,A,F,09/01/2021,,,,,
kcoulomb,Workday,010680090,found,{'brown_login': 'kcoulomb'},,A,F,01/01/2014,,,,,
mcrane3,Workday,140663304,found,{'brown_login': 'mcrane3'},,A,M,10/01/2025,,,,,
kcrocker,Workday,140815060,found,{'brown_login': 'kcrocker'},,A,N,06/23/2025,,,,,
kcrowle3,Workday,140316661,found,{'brown_login': 'kcrowle3'},,A,E,09/09/2019,,,,,
ccutler,Workday,020068682,found,{'brown_login': 'ccutler'},,A,E,11/01/2008,,N,08/15/2008,11/06/2008,
idaubar,Workday,140317153,found,{'brown_login': 'idaubar'},,A,F,11/01/2019,,,,,
mditoro,Workday,010274785,found,{'brown_login': 'mditoro'},,A,E,09/10/2007,,,,,
yduartev,Workday,010677319,found,{'brown_login': 'yduartev'},,A,M,07/01/2023,,,,,
tduvally,Workday,010140273,found,{'brown_login': 'tduvally'},,A,E,04/24/2002,,,,,
ceickhof,Workday,140184389,found,{'brown_login': 'ceickhof'},,A,F,12/01/2022,,,,,
relwy,Workday,140241051,found,{'brown_login': 'relwy'},,A,M,07/01/2018,,N,06/08/2018,07/31/2018,
yelzahab,Workday,140502823,found,{'brown_login': 'yelzahab'},,A,E,01/11/2022,,,,,
kescuder,Workday,140053811,found,{'brown_login': 'kescuder'},,P,F,07/01/2015,,,,,
gfalken,Workday,140315509,found,{'brown_login': 'gfalken'},,A,E,02/24/2025,,N,07/20/2021,05/21/2025,
ofeldman,Workday,140070479,found,{'brown_login': 'ofeldman'},,A,F,07/01/2016,,N,12/07/2015,06/30/2016,
afenelon,Workday,010586451,found,{'brown_login': 'afenelon'},,A,F,03/01/2024,,,,,
ifergus2,Workday,140574672,found,{'brown_login': 'ifergus2'},,A,E,07/11/2022,,,,,
amferna,Workday,020562099,found,{'brown_login': 'amferna'},,A,E,07/10/2012,,N,02/01/2012,07/10/2012,
rfletche,Workday,010025136,found,{'brown_login': 'rfletche'},,A,E,12/21/1987,,,,,
hfournie,Workday,140123584,found,{'brown_login': 'hfournie'},,A,E,10/01/2016,,,,,
hf2,Workday,020592701,found,{'brown_login': 'hf2'},,A,M,05/01/2022,,N,06/21/2012,06/30/2014,
nvfreema,Workday,010116315,found,{'brown_login': 'nvfreema'},,A,E,04/10/2000,,,,,
jfriedm2,Workday,140004839,found,{'brown_login': 'jfriedm2'},,A,F,07/01/2025,,,,,
jufrizze,Workday,010070626,found,{'brown_login': 'jufrizze'},,A,E,12/01/2021,,,,,
igarciav,Workday,140579167,found,{'brown_login': 'igarciav'},,A,E,06/01/2026,,Y,02/13/2026,10/31/2026,
cgatsoni,Workday,010025335,found,{'brown_login': 'cgatsoni'},,A,F,01/01/1995,,,,,
bgaudian,Workday,010155330,found,{'brown_login': 'bgaudian'},,A,M,06/01/2026,,,,,
tgiguere,Workday,140480058,found,{'brown_login': 'tgiguere'},,A,E,11/15/2021,,,,,
fgillani,Workday,010173670,found,{'brown_login': 'fgillani'},,A,M,07/01/2007,,,,,
ngiovan1,Workday,140758320,found,{'brown_login': 'ngiovan1'},,A,E,08/01/2024,,,,,
ggodino,Workday,010797116,found,{'brown_login': 'ggodino'},,A,E,07/21/2014,,,,,
agould3,Workday,140552086,found,{'brown_login': 'agould3'},,A,E,02/14/2022,,,,,
sgravens,Workday,010312792,found,{'brown_login': 'sgravens'},,A,M,03/01/2020,,,,,
sgreen35,Workday,140481345,found,{'brown_login': 'sgreen35'},,P,E,11/29/2021,,,,,
agregoir,Workday,010105669,found,{'brown_login': 'agregoir'},,A,N,04/14/1999,,,,,
dgrigsby,Workday,140310311,found,{'brown_login': 'dgrigsby'},,A,F,09/01/2019,,,,,
bgully1,Workday,140459290,found,{'brown_login': 'bgully1'},,A,E,10/18/2021,,,,,
sgupt219,Workday,140818942,found,{'brown_login': 'sgupt219'},,A,F,07/01/2025,,,,,
aguy1,Workday,140375233,found,{'brown_login': 'aguy1'},,T,F,06/30/2026,,Y,07/30/2026,06/30/2027,
ahandlan,Workday,140445587,found,{'brown_login': 'ahandlan'},,A,F,07/01/2021,,,,,
khayes15,Workday,140455652,found,{'brown_login': 'khayes15'},,A,F,08/01/2021,,,,,
ehensler,Workday,140239380,found,{'brown_login': 'ehensler'},,T,F,07/31/2026,,,,,
jhogansc,Workday,010025955,found,{'brown_login': 'jhogansc'},,A,F,09/01/1995,,,,,
jholla10,Workday,140565602,found,{'brown_login': 'jholla10'},,P,E,05/02/2022,,,,,
cjhowe,Workday,010506351,found,{'brown_login': 'cjhowe'},,A,F,09/01/2011,,,,,
ekhsieh,Workday,100277470,found,{'brown_login': 'ekhsieh'},,A,E,06/12/2023,,,,,
ahsu16,Workday,140239384,found,{'brown_login': 'ahsu16'},,A,M,08/01/2021,,,,,
ehuertas,Workday,140226055,found,{'brown_login': 'ehuertas'},,A,F,07/01/2018,,N,01/17/2018,06/30/2018,
phull1,Workday,140447586,found,{'brown_login': 'phull1'},,A,F,07/01/2021,,,,,
kingram6,Workday,140658126,found,{'brown_login': 'kingram6'},,A,M,06/01/2023,,,,,
jisaacs6,Workday,140826908,found,{'brown_login': 'jisaacs6'},,A,E,09/15/2025,,,,,
miyer,Workday,140019556,found,{'brown_login': 'miyer'},,A,E,02/27/2026,,,,,
kjackson,Workday,010184723,found,{'brown_login': 'kjackson'},,A,F,10/01/2023,,,,,
ajasti,Workday,010691414,found,{'brown_login': 'ajasti'},,A,E,12/16/2013,,,,,
anjawors,Workday,020114810,found,{'brown_login': 'anjawors'},,A,E,08/28/2000,,N,11/30/1999,09/01/2000,
rnjones,Workday,020660890,found,{'brown_login': 'rnjones'},,A,M,07/01/2013,,N,04/05/2013,06/27/2013,
srj3,Workday,020484407,found,{'brown_login': 'srj3'},,A,F,07/01/2011,,N,02/15/2011,07/01/2011,
ejutkowi,Workday,140171402,found,{'brown_login': 'ejutkowi'},,A,F,08/01/2025,,,,,
lkaler,Workday,140754787,found,{'brown_login': 'lkaler'},,A,F,07/01/2024,,Y,09/01/2026,08/10/2027,
akane19,Workday,140667312,found,{'brown_login': 'akane19'},,A,N,07/24/2023,,,,,
skane9,Workday,140825782,found,{'brown_login': 'skane9'},,A,F,09/01/2025,,,,,
akarnick,Workday,140653816,found,{'brown_login': 'akarnick'},,A,M,06/30/2026,,,,,
ktkelsey,Workday,010274232,found,{'brown_login': 'ktkelsey'},,A,F,09/01/2007,,,,,
kkemp,Workday,020661670,found,{'brown_login': 'kkemp'},,A,M,07/01/2024,,N,04/17/2013,05/22/2014,
jkim999,Workday,140743400,found,{'brown_login': 'jkim999'},,A,F,07/01/2026,,,,,
bknight,Workday,010146759,found,{'brown_login': 'bknight'},,A,F,01/01/2003,,,,,
mkraft,Workday,010672037,found,{'brown_login': 'mkraft'},,P,F,07/01/2013,,,,,
mkriege1,Workday,140111310,found,{'brown_login': 'mkriege1'},,A,E,05/04/2016,,,,,
llagos,Workday,140448262,found,{'brown_login': 'llagos'},,A,F,07/01/2021,,,,,
olamarco,Workday,140754647,found,{'brown_login': 'olamarco'},,A,N,06/17/2024,,,,,
vlandrum,Workday,140826698,found,{'brown_login': 'vlandrum'},,A,N,08/18/2025,,,,,
klashway,Workday,140663378,found,{'brown_login': 'klashway'},,A,E,06/30/2023,,,,,
ml117,Workday,010442316,found,{'brown_login': 'ml117'},,A,F,10/01/2010,,,,,
jlawson9,Workday,140396806,found,{'brown_login': 'jlawson9'},,A,E,01/04/2021,,,,,
al44,Workday,010592566,found,{'brown_login': 'al44'},,A,M,06/01/2016,,N,02/27/2016,02/26/2017,
jlee1285,Workday,140813643,found,{'brown_login': 'jlee1285'},,A,F,08/01/2025,,N,04/01/2025,07/31/2025,
yl18,Workday,010509166,found,{'brown_login': 'yl18'},,A,E,10/12/2011,,,,,
ylee209,Workday,140452216,found,{'brown_login': 'ylee209'},,A,F,07/01/2021,,,,,
clenox,Workday,140571579,found,{'brown_login': 'clenox'},,A,E,06/27/2022,,,,,
al16,Workday,010371023,found,{'brown_login': 'al16'},,A,M,01/01/2024,,,,,
yli188,Workday,140176238,found,{'brown_login': 'yli188'},,A,E,07/05/2017,,,,,
alie,Workday,010201720,found,{'brown_login': 'alie'},,A,E,06/19/2006,,,,,
elilavoi,Workday,140176572,found,{'brown_login': 'elilavoi'},,A,E,07/19/2017,,,,,
ylin141,Workday,140370759,found,{'brown_login': 'ylin141'},,A,E,05/08/2023,,,,,
yliu385,Workday,140348764,found,{'brown_login': 'yliu385'},,A,E,01/21/2020,,,,,
jlopres1,Workday,140667381,found,{'brown_login': 'jlopres1'},,A,E,09/01/2023,,N,07/27/2023,08/31/2023,
mloxley,Workday,010185338,found,{'brown_login': 'mloxley'},,A,E,01/22/2024,,N,09/28/2022,09/26/2024,
slu,Workday,010364409,found,{'brown_login': 'slu'},,A,M,07/01/2021,,,,,
mlurieph,Workday,010134027,found,{'brown_login': 'mlurieph'},,A,F,07/01/2026,,,,,
smadiso1,Workday,140321268,found,{'brown_login': 'smadiso1'},,A,E,11/12/2019,,,,,
amantil,Workday,140234464,found,{'brown_login': 'amantil'},,A,F,02/01/2019,,N,03/20/2018,01/31/2019,
bm8,Workday,010519111,found,{'brown_login': 'bm8'},,A,F,01/01/2012,,,,,
rmartinm,Workday,010027094,found,{'brown_login': 'rmartinm'},,A,F,09/02/2024,,,,,
amartinc,Workday,140653292,found,{'brown_login': 'amartinc'},,A,F,07/01/2023,,,,,
mmarti43,Workday,140124282,found,{'brown_login': 'mmarti43'},,A,M,06/01/2026,,,,,
rmarti64,Workday,140668204,found,{'brown_login': 'rmarti64'},,A,M,09/01/2023,,N,08/03/2023,09/10/2023,
kmathew6,Workday,140764071,found,{'brown_login': 'kmathew6'},,A,N,10/01/2024,,Y,09/25/2024,09/16/2026,
cmatulis,Workday,140239427,found,{'brown_login': 'cmatulis'},,A,F,01/07/2019,,,,,
mmcnam12,Workday,140823031,found,{'brown_login': 'mmcnam12'},,A,E,08/19/2025,,,,,
emcquaid,Workday,010027288,found,{'brown_login': 'emcquaid'},,A,M,05/25/2018,,,,,
romedeir,Workday,010114870,found,{'brown_login': 'romedeir'},,P,E,12/28/1999,,,,,
gmellon,Workday,140649573,found,{'brown_login': 'gmellon'},,P,F,09/01/2023,,,,,
camenard,Workday,010671960,found,{'brown_login': 'camenard'},,A,E,06/24/2013,,,,,
tm2,Workday,010202619,found,{'brown_login': 'tm2'},,A,M,11/11/2024,,,,,
romirand,Workday,010130314,found,{'brown_login': 'romirand'},,A,F,07/01/2026,,,,,
slmoffit,Workday,010370654,found,{'brown_login': 'slmoffit'},,A,F,07/01/2009,,,,,
emoitra,Workday,010119375,found,{'brown_login': 'emoitra'},,A,M,07/01/2009,,,,,
pmontene,Workday,140663192,found,{'brown_login': 'pmontene'},,A,N,07/10/2023,,,,,
vmor,Workday,010027519,found,{'brown_login': 'vmor'},,A,F,04/01/1981,,,,,
kmurrell,Workday,140571274,found,{'brown_login': 'kmurrell'},,A,E,07/06/2022,,,,,
kmwenda,Workday,140248487,found,{'brown_login': 'kmwenda'},,A,F,10/15/2018,,,,,
anurshat,Workday,140580074,found,{'brown_login': 'anurshat'},,A,F,10/17/2022,,,,,
aochoa6,Workday,140820177,found,{'brown_login': 'aochoa6'},,A,E,08/01/2025,,,,,
hoh23,Workday,140310635,found,{'brown_login': 'hoh23'},,A,M,07/01/2019,,,,,
jokonofu,Workday,140754465,found,{'brown_login': 'jokonofu'},,A,F,07/01/2024,,,,,
aolszews,Workday,010441130,found,{'brown_login': 'aolszews'},,A,M,07/01/2019,,,,,
eoster1,Workday,010792567,found,{'brown_login': 'eoster1'},,P,F,07/01/2014,,,,,
opagan,Workday,140755362,found,{'brown_login': 'opagan'},,A,F,08/30/2024,,,,,
lpage2,Workday,140444972,found,{'brown_login': 'lpage2'},,A,F,07/01/2021,,,,,
apai4,Workday,140264434,found,{'brown_login': 'apai4'},,A,E,08/29/2025,,,,,
cpaniagu,Workday,140569322,found,{'brown_login': 'cpaniagu'},,A,E,06/01/2022,,,,,
jpapay,Workday,020515239,found,{'brown_login': 'jpapay'},,A,F,01/01/2012,,N,11/09/2011,01/01/2012,
cparish,Workday,140312798,found,{'brown_login': 'cparish'},,A,E,07/15/2019,,,,,
cpark68,Workday,140326080,found,{'brown_login': 'cpark68'},,A,E,01/06/2020,,,,,
jpark257,Workday,140314509,found,{'brown_login': 'jpark257'},,A,F,09/01/2022,,,,,
apaul35,Workday,140554929,found,{'brown_login': 'apaul35'},,A,E,02/16/2022,,,,,
